sequence,mode,error,from,to,skipped,takeoffSpeed,landingSpeed,flightDistance,width,depth,headingChange,landingX,landingZ
ridge,flow,late,m02.safe.02,m02.safe.03,,13.500,13.500,8.212,12,4,-0.86,0.087,0.696
ridge,flow,late,m02.safe.03,m02.garden.exit,m02.safe.04,13.500,13.500,7.978,12,7.7,9.86,0.807,-3.542
ridge,flow,late,m02.garden.exit,m02.ridge.01,,13.500,13.500,8.179,12,5,17.61,-0.434,-2.254
ridge,flow,late,m02.ridge.01,m02.ridge.02,,13.500,13.500,8.206,12,4,7.74,-0.647,-0.130
ridge,flow,late,m02.ridge.02,m02.rejoin,,13.500,13.500,8.210,20,12,-4.79,-0.693,-2.041
ridge,flow,heading,m02.restore.platform,m02.safe.02,m02.safe.01,13.500,13.500,7.965,11,4,-14.92,1.615,-1.124
ridge,flow,heading,m02.safe.02,m02.safe.03,,13.500,13.500,8.208,12,4,-6.53,0.603,0.632
ridge,flow,heading,m02.safe.03,m02.safe.04,,13.500,13.500,7.977,12,4,10.23,-0.019,2.284
ridge,flow,heading,m02.safe.04,m02.ridge.01,m02.garden.exit,13.500,13.500,8.174,12,5,18.96,-0.473,-2.443
ridge,flow,heading,m02.ridge.01,m02.ridge.02,,13.500,13.500,8.205,12,4,8.64,-0.726,-0.312
ridge,flow,heading,m02.ridge.02,m02.rejoin,,13.500,13.500,8.210,20,12,-4.52,-0.738,-2.231
ridge,expert,clean,m02.restore.platform,m02.safe.02,m02.safe.01,17.500,17.500,10.333,11,4,-12.53,0.578,1.114
ridge,expert,clean,m02.safe.02,m02.safe.04,m02.safe.03,17.500,17.500,10.354,12,4,-0.34,0.929,-1.041
ridge,expert,clean,m02.safe.04,m02.garden.exit,,17.500,17.500,10.593,12,7.7,19.25,-0.077,3.507
ridge,expert,clean,m02.garden.exit,m02.ridge.02,m02.ridge.01,17.500,17.500,10.319,12,4,16.14,-1.317,0.821
ridge,expert,clean,m02.ridge.02,m02.rejoin,,17.500,17.500,10.641,20,12,-4.50,-0.417,1.211
ridge,expert,left,m02.restore.platform,m02.safe.02,m02.safe.01,17.500,17.500,10.333,11,4,-12.53,-0.172,1.114
ridge,expert,left,m02.safe.02,m02.safe.04,m02.safe.03,17.500,17.500,10.353,12,4,2.46,0.508,-0.926
ridge,expert,left,m02.safe.04,m02.garden.exit,,17.500,17.500,10.599,12,7.7,18.12,-0.055,3.704
ridge,expert,left,m02.garden.exit,m02.ridge.02,m02.ridge.01,17.500,17.500,10.326,12,4,14.48,-1.156,1.000
ridge,expert,left,m02.ridge.02,m02.rejoin,,17.500,17.500,10.641,20,12,-5.14,-0.332,1.410
ridge,expert,right,m02.restore.platform,m02.safe.02,m02.safe.01,17.500,17.500,10.333,11,4,-12.53,1.328,1.114
ridge,expert,right,m02.safe.02,m02.safe.04,m02.safe.03,17.500,17.500,10.352,12,4,-3.06,1.372,-1.162
ridge,expert,right,m02.safe.04,m02.garden.exit,,17.500,17.500,10.587,12,7.7,20.17,-0.080,3.285
ridge,expert,right,m02.garden.exit,m02.ridge.02,m02.ridge.01,17.500,17.500,10.312,12,4,17.84,-1.482,0.617
ridge,expert,right,m02.ridge.02,m02.rejoin,,17.500,17.500,10.642,20,12,-3.75,-0.512,0.988
ridge,expert,early,m02.restore.platform,m02.safe.02,m02.safe.01,17.500,17.500,10.334,11,4,-12.13,0.631,0.778
ridge,expert,early,m02.safe.02,m02.safe.04,m02.safe.03,17.500,17.500,10.354,12,4,-0.80,1.021,-1.363
ridge,expert,early,m02.safe.04,m02.garden.exit,,17.500,17.500,10.596,12,7.7,18.60,-0.069,3.172
ridge,expert,early,m02.garden.exit,m02.ridge.02,m02.ridge.01,17.500,17.500,10.317,12,4,16.60,-1.401,0.500
ridge,expert,early,m02.ridge.02,m02.rejoin,,17.500,17.500,10.642,20,12,-3.91,-0.483,0.885
ridge,expert,late,m02.restore.platform,m02.safe.02,m02.safe.01,17.500,17.500,10.333,11,4,-12.70,0.556,1.258
ridge,expert,late,m02.safe.02,m02.safe.04,m02.safe.03,17.500,17.500,10.354,12,4,-0.14,0.890,-0.903
ridge,expert,late,m02.safe.04,m02.garden.exit,,17.500,17.500,10.592,12,7.7,19.52,-0.079,3.650
ridge,expert,late,m02.garden.exit,m02.ridge.02,m02.ridge.01,17.500,17.500,10.320,12,4,15.94,-1.281,0.959
ridge,expert,late,m02.ridge.02,m02.rejoin,,17.500,17.500,10.641,20,12,-4.75,-0.389,1.351
ridge,expert,heading,m02.restore.platform,m02.safe.02,m02.safe.01,17.500,17.500,10.325,11,4,-14.75,1.319,1.253
ridge,expert,heading,m02.safe.02,m02.safe.04,m02.safe.03,17.500,17.500,10.349,12,4,-5.92,1.562,-0.949
ridge,expert,heading,m02.safe.04,m02.garden.exit,,17.500,17.500,10.590,12,7.7,19.73,0.027,3.482
ridge,expert,heading,m02.garden.exit,m02.ridge.02,m02.ridge.01,17.500,17.500,10.310,12,4,18.14,-1.443,0.822
ridge,expert,heading,m02.ridge.02,m02.rejoin,,17.500,17.500,10.642,20,12,-3.67,-0.504,1.203
summit,slow,clean,m02.lift.exit,m02.ascent.01,,6.158,7.380,4.474,12,3,0.66,-0.042,-0.115
summit,slow,clean,m02.ascent.01,m02.ascent.02,,6.124,7.380,4.473,12,4,0.00,0.073,0.358
summit,slow,clean,m02.ascent.02,m02.ascent.03,,6.124,7.380,4.473,12,4,0.00,-0.013,-0.081
summit,slow,clean,m02.ascent.03,m02.ascent.04,,6.124,7.380,4.473,12,4,0.00,0.000,-0.042
summit,slow,clean,m02.ascent.04,m02.final-runup,,6.124,7.380,4.473,12,5,0.00,0.023,-0.134
summit,slow,clean,m02.final-runup,m02.patch.base,,6.124,7.380,4.473,16,12,0.00,0.351,-3.564
summit,slow,left,m02.lift.exit,m02.ascent.01,,6.309,7.443,4.511,12,3,8.41,-0.313,-0.201
summit,slow,left,m02.ascent.01,m02.ascent.02,,6.124,7.380,4.473,12,4,0.00,0.077,0.316
summit,slow,left,m02.ascent.02,m02.ascent.03,,6.124,7.380,4.473,12,4,0.00,-0.019,-0.122
summit,slow,left,m02.ascent.03,m02.ascent.04,,6.124,7.380,4.473,12,4,0.00,0.000,-0.031
summit,slow,left,m02.ascent.04,m02.final-runup,,6.124,7.380,4.473,12,5,0.00,0.022,-0.123
summit,slow,left,m02.final-runup,m02.patch.base,,6.124,7.380,4.473,16,12,0.00,0.350,-3.553
summit,slow,right,m02.lift.exit,m02.ascent.01,,6.156,7.380,4.474,12,3,-0.06,-0.003,-0.075
summit,slow,right,m02.ascent.01,m02.ascent.02,,6.124,7.380,4.473,12,4,0.00,0.073,0.349
summit,slow,right,m02.ascent.02,m02.ascent.03,,6.124,7.380,4.473,12,4,0.00,-0.014,-0.090
summit,slow,right,m02.ascent.03,m02.ascent.04,,6.124,7.380,4.473,12,4,0.00,0.000,-0.050
summit,slow,right,m02.ascent.04,m02.final-runup,,6.124,7.380,4.473,12,5,0.00,0.016,-0.091
summit,slow,right,m02.final-runup,m02.patch.base,,6.124,7.380,4.473,16,12,0.00,0.351,-3.572
summit,slow,early,m02.lift.exit,m02.ascent.01,,6.124,7.380,4.473,12,3,0.00,-0.021,-0.106
summit,slow,early,m02.ascent.01,m02.ascent.02,,6.124,7.380,4.473,12,4,-0.02,0.074,0.370
summit,slow,early,m02.ascent.02,m02.ascent.03,,6.124,7.380,4.473,12,4,0.00,-0.019,-0.120
summit,slow,early,m02.ascent.03,m02.ascent.04,,6.124,7.380,4.473,12,4,0.00,0.000,-0.029
summit,slow,early,m02.ascent.04,m02.final-runup,,6.124,7.380,4.473,12,5,0.00,0.021,-0.121
summit,slow,early,m02.final-runup,m02.patch.base,,6.124,7.380,4.473,16,12,0.00,0.349,-3.551
summit,slow,late,m02.lift.exit,m02.ascent.01,,6.633,7.447,4.521,12,3,8.19,-0.220,0.014
summit,slow,late,m02.ascent.01,m02.ascent.02,,6.124,7.380,4.473,12,4,0.00,0.085,0.346
summit,slow,late,m02.ascent.02,m02.ascent.03,,6.124,7.380,4.473,12,4,0.00,-0.014,-0.092
summit,slow,late,m02.ascent.03,m02.ascent.04,,6.124,7.380,4.473,12,4,0.00,0.000,-0.052
summit,slow,late,m02.ascent.04,m02.final-runup,,6.124,7.380,4.473,12,5,0.00,0.016,-0.094
